Business,Email,Website,Phone,SourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Hilton Santa Clara,SJCSC_Hotel@hilton.com,https://hiltonsantaclara.com/,408-330-0001,https://hiltonsantaclara.com/contact-hilton-santa-clara/,"Santa Clara, CA","Hotel, meetings and events","The hotel combines stays, group room blocks, meetings, weddings and on-site catering; a concise stay-vs-event planning guide can clarify several high-value booking paths.",2026-09-16,"Current owned contact page publishes Santa Clara address, phone and SJCSC_Hotel@hilton.com; current meetings pages show group blocks, AV and catering.",YES,hiltonsantaclara,sjcschotel@hilton.com,hiltonsantaclara.com,4083300001
"San Jose Mailing, Inc.",sales@sanjosemailing.com,https://www.sanjosemailing.com/,408-971-1911,https://www.svcentralchamber.com/expanded-directory/,"San Jose, CA","Direct mail, printing and data processing","San Jose Mailing combines direct mail, printing and data processing, so buyer-facing content can explain how a campaign moves from list/data preparation through print and delivery.",2026-09-16,"Current Silicon Valley Chamber expanded directory publishes sales@sanjosemailing.com and website; owned contact page confirms 1445 Monterey Highway, San Jose and current phone.",YES,sanjosemailinginc,sales@sanjosemailing.com,sanjosemailing.com,4089711911
Schaaf & Wheeler Consulting Civil Engineers,canderson@swsv.com,https://www.schaafandwheeler.com/,408-246-4848,https://www.schaafandwheeler.com/contact/,"Santa Clara, CA",Civil and water-resources engineering,"The firm handles stormwater, water, wastewater, floodplain and restoration work; a capability map can help public/private project owners understand where the firm fits before an inquiry.",2026-09-16,"Current owned site lists Santa Clara office and service portfolio; current/recent public agency records publish canderson@swsv.com.",YES,schaafwheelerconsultingcivilengineers,canderson@swsv.com,schaafandwheeler.com,4082464848
SERVPRO of Santa Clara,vdandrea@servproofsantaclara.com,https://www.servpro.com/locations/ca/servpro-of-santa-clara,408-392-9700,https://www.servpro.com/locations/ca/servpro-of-santa-clara/contact,"Santa Clara, CA","Restoration, cleanup and construction","The Santa Clara franchise offers water, fire, mold, storm, construction and commercial services; a service-selector and emergency-prep content set can clarify when each service applies without inventing urgency.",2026-09-16,"Current official location page lists Santa Clara address/phone and service area; current Chamber directory publishes vdandrea@servproofsantaclara.com.",YES,servproofsantaclara,vdandrea@servproofsantaclara.com,servpro.com,4083929700
Barefoot Coffee Roasters,events@barefootcoffee.com,https://www.barefootcoffee.com/,408-293-7200,https://www.barefootcoffee.com/pages/contact-us,"Santa Clara, CA","Coffee roastery, wholesale and events","Barefoot operates a Santa Clara roastery plus wholesale, office-coffee, training and catered coffee-event paths; a service-selector can expose B2B and event revenue paths beyond retail bags.",2026-09-16,"Current owned contact page lists Santa Clara roastery and events@barefootcoffee.com; wholesale page documents office, cafe, retail and team-building programs.",YES,barefootcoffeeroasters,events@barefootcoffee.com,barefootcoffee.com,4082937200
Howell Electric,info@howellelectric.com,https://howellelectric.com/,408-980-8800,https://howellelectric.com/contact/,"Santa Clara, CA",Commercial electrical contracting,"Howell covers preconstruction, budgeting, design and electrical construction; a project-stage capability explainer can make a complex B2B service easier for buyers to scope.",2026-09-16,"Current owned site lists 3390 Viso Court, Santa Clara, info@howellelectric.com and active commercial electrical services.",YES,howellelectric,info@howellelectric.com,howellelectric.com,4089808800
Safari Kid Santa Clara,safarikidsantaclara@gmail.com,https://www.safarikid.com/santa-clara/,855-695-6148,https://www.safarikid.com/santa-clara/,"Santa Clara, CA","Preschool, after-school and summer programs","The Santa Clara location publishes preschool, after-school and summer-camp paths; age/program selection and tour-prep content can help families understand options without promising educational outcomes.",2026-09-16,"Current official 2026 location site lists 4995 Stevens Creek Blvd and active program/tour paths; current Chamber directory publishes the location-specific public email.",YES,safarikidsantaclara,safarikidsantaclara@gmail.com,safarikid.com,8556956148
Woodcrest Hotel,rupert@woodcresthotel.com,https://www.woodcresthotel.com/,408-446-9636,https://www.woodcresthotel.com/,"Santa Clara, CA","Boutique hotel, meetings and catering","Woodcrest offers rooms, small meeting spaces, courtyard receptions and catering; stay-type and meeting-use-case content can make its boutique positioning easier to evaluate.",2026-09-16,"Current owned site lists 5415 Stevens Creek Blvd, Santa Clara, active rooms/meeting/catering; current Chamber directory publishes rupert@woodcresthotel.com.",YES,woodcresthotel,rupert@woodcresthotel.com,woodcresthotel.com,4084469636
Coastal Termite and Pest Control,coastal@coastaltermite.com,https://coastaltermite.com/,408-727-6240,https://coastaltermite.com/contact/,"Santa Clara, CA",Termite and pest control,"Coastal separates residential/commercial inspection, treatment and prevention services; inspection-vs-service educational content can clarify the inquiry path without promising outcomes.",2026-09-16,"Current owned contact page lists Santa Clara address, email, phone and active residential/commercial service request flow.",YES,coastaltermiteandpestcontrol,coastal@coastaltermite.com,coastaltermite.com,4087276240
West Coast Self-Storage Santa Clara,wcselfstoragesantaclara@gmail.com,https://www.westcoastselfstorage.com/self-storage/california/storage-santa-clara/,408-235-7777,https://www.westcoastselfstorage.com/self-storage/california/storage-santa-clara/,"Santa Clara, CA","Self storage and moving supplies","The Santa Clara facility offers multiple unit types, online rental, size guidance and packing supplies; size-selector and first-rental content can reduce confusion before booking.",2026-09-16,"Current official location page lists 2490 Lafayette St and current rental options; current Chamber directory supplies location-specific public Gmail.",YES,westcoastselfstoragesantaclara,wcselfstoragesantaclara@gmail.com,westcoastselfstorage.com,4082357777
