Business,Email,Website,Phone,SourceURL,EmailSourceURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
Kijero LLC,marketing@kijero.com,https://kijero.com/,669-244-0333,https://kijero.com/contact,https://kijero.com/contact,"Morgan Hill, CA",IT hardware and B2B procurement,"The site separates commercial and federal sales, offers volume-order support and a quick-quote workflow; a plain-English product/procurement content pack can make those buying paths easier to understand.",2026-09-13,"Official contact page lists Morgan Hill address plus marketing@kijero.com for Commercial; official site copyright is 2026 and presents federal, commercial, volume-order and quote channels.",YES,,kijero,marketing@kijero.com,kijero.com,6692440333
Pine Press Printing Binding and Copying,info@pinepress.com,https://www.pinepress.com/,408-730-2552,https://www.pinepress.com/contact/contact.html,https://www.pinepress.com/contact/contact.html,"Sunnyvale, CA","Printing, design and direct mail","Pine Press combines design, print, mailing services and mailing lists, so an easy-to-scan campaign explainer could show customers how one project can move from design through print and delivery.",2026-09-13,"Official contact/about pages list info@pinepress.com and 1330 S. Mary Ave, Sunnyvale; current site describes full-service online printing, design and mailing.",YES,,pinepressprintingbindingcopying,info@pinepress.com,pinepress.com,4087302552
Nailed It Builders Inc.,naileditbuildersinc@gmail.com,https://naileditbuildersinc.com/,408-550-1478,https://naileditbuilders.wixsite.com/build-a-home,https://naileditbuilders.wixsite.com/build-a-home,"Santa Clara, CA",General contracting and home remodeling,"The company emphasizes kitchens, bathrooms, ADUs, room additions and whole-home renovation; a before/after plus FAQ-style content pack could make the quote decision simpler for homeowners.",2026-09-13,"Public company page lists the email, Santa Clara address and license 1089504; current official site independently confirms the same phone/license and Silicon Valley remodeling focus.",YES,,naileditbuilders,naileditbuildersinc@gmail.com,naileditbuildersinc.com,4085501478
PrintPapa,contact@printpapa.com,https://www.printpapa.com/,408-567-9553,https://www.printpapa.com/eshop/pc/privacy-policy.asp,https://www.printpapa.com/eshop/pc/privacy-policy.asp,"Santa Clara, CA",Commercial printing and marketing production,"PrintPapa currently promotes print, signage and promotional products from a Santa Clara production location; a compact 'what to use when' campaign can help small-business buyers choose the right print format faster.",2026-09-13,Official privacy page publishes contact@printpapa.com and Santa Clara address; current contact/catalog pages identify 2026 as the company's 21st year and show active ordering/contact workflows.,YES,,printpapa,contact@printpapa.com,printpapa.com,4085679553
Granite Rock Company,estimating@graniterock.com,https://www.graniterock.com/location/san_jose_concrete,408-574-1400,https://www.graniterock.com/location/san_jose_concrete,https://clpccd.org/business/guide/files/docs/purchasing/UPCCAA-Pre-Approved_Contractors_3-9-26.pdf,"San Jose, CA","Construction materials, concrete and paving","The San Jose concrete branch publishes custom mix, color/admixture, delivery and customer-assistance capabilities; buyer-friendly content could explain mix/service choices without making contractors decode an industrial catalog.",2026-09-13,"Official San Jose branch page is current; the March 9, 2026 CLPCCD qualified-contractor list supplies the public estimating email used here.",YES,,graniterock,estimating@graniterock.com,graniterock.com,4085741400
SASCO,info@sasco.com,https://www.sasco.com/,408-970-8300,https://www.sasco.com/contact-us,https://www.sasco.com/contact-us,"San Jose, CA",Electrical contracting,SASCO maintains a dedicated Northern California San Jose office and public general inbox; a capability/project-type explainer could make the firm's electrical scope easier for prospective commercial clients to scan.,2026-09-13,Official contact page lists the San Jose Northern California office at 2190 Paragon Drive and info@sasco.com; 2026 contractor-list evidence independently places SASCO in the active qualified-contractor pool.,YES,,sasco,info@sasco.com,sasco.com,4089708300
Anna Olivia Bakes LLC,hello@annaoliviabakes.com,https://annaoliviabakes.com/,408-609-2068,https://annaoliviabakes.com/pages/about,https://annaoliviabakes.com/pages/about,"San Jose, CA",Bakery and event catering,"The bakery specializes in British-style scones plus cakes and pastries, sells through local farmers markets and caters events; seasonal preorder and catering content could turn that variety into a clearer buying path.",2026-09-13,"Official about page lists hello@annaoliviabakes.com, San Jose kitchen and catering; Santa Clara County's daily caterer directory shows a permit through 04/30/2027.",YES,,annaoliviabakes,hello@annaoliviabakes.com,annaoliviabakes.com,4086092068
Anton SV Patisserie,hello@antonsv.com,https://www.antonsvpatisserie.com/,650-273-7357,https://www.antonsvpatisserie.com/pages/contact-us,https://www.antonsvpatisserie.com/pages/contact-us,"San Jose, CA","Patisserie, bakery and catering","Anton sells signature mille-crepe cakes while also supporting Bay Area delivery, wholesale and catering; concise occasion-based and wholesale/catering content can make those distinct purchase paths easier to discover.",2026-09-13,"Official contact page publishes hello(at)antonsv(dot)com and San Jose pickup location; FAQ currently describes delivery, wholesale and catering, while the County caterer directory lists a permit through 12/31/2026.",YES,,antonsvpatisserie,hello@antonsv.com,antonsvpatisserie.com,6502737357
Mr & Mrs Construction,info@mrandmrscnr.com,https://mrandmrscnr.com/,800-587-1823,https://mrandmrscnr.com/get-a-free-quote/,https://mrandmrscnr.com/get-a-free-quote/,"Santa Clara, CA","Home remodeling, ADUs and general contracting","The company sells a broad remodeling journey from design and planning through approvals, material procurement and construction; a layman's guide to that process could reduce confusion before a quote request.",2026-09-13,"Official 2026 site lists info@mrandmrscnr.com, Santa Clara office and license 1068849; services include remodeling, kitchens and ADU work across Silicon Valley.",YES,,mrmrsconstruction,info@mrandmrscnr.com,mrandmrscnr.com,8005871823
Elcor Electric Inc.,info@elcorelectric.com,https://elcorelectric.com/,408-986-1320,https://elcorelectric.com/contact-us/,https://elcorelectric.com/contact-us/,"Santa Clara, CA",Electrical contracting,Elcor presents itself as a Bay Area electrical contractor with a Santa Clara office and direct inquiry channel; a project-capability/when-to-call explainer could make complex electrical services easier for buyers to understand.,2026-09-13,"Official contact page lists info@elcorelectric.com and 3310 Bassett Street, Santa Clara; current 2026 school-district prequalification results also list the firm as an approved C-10 contractor.",YES,,elcorelectric,info@elcorelectric.com,elcorelectric.com,4089861320
