Business,Email,Website,Phone,SourceURL,FreshnessURL,City,Industry,Observation,CheckDate,EvidenceNote,_accepted,_reasons,_normalized_name,_normalized_email,_normalized_domain,_normalized_phone
DWM Properties,info@dwmproperties.com,https://www.dwmproperties.com/,408-356-6893,https://www.dwmproperties.com/contact,https://www.dwmproperties.com/owners,"Los Gatos, CA","Property management and real estate services","DWM publishes separate owner, renter, relocation and home-watch resources; a plain-English service-path/FAQ content pack could help visitors understand which resource fits them without making investment or rental-outcome promises.",2026-09-13,"Current owned contact page lists 15760 Los Gatos Blvd, info@dwmproperties.com, 408-356-6893 and DRE #02021398; current owner resources corroborate active property-management services.",YES,,dwmproperties,info@dwmproperties.com,dwmproperties.com,4083566893
Blossom Hill Crafts / Blossom Hill Ceramics,teambhc@blossomhillcrafts.com,https://www.blossomhillcrafts.com/,408-402-5020,https://www.blossomhillcrafts.com/contact-us.html,https://www.blossomhillcrafts.com/about-us.html,"Los Gatos, CA","Pottery studio, classes and private events","BHC combines beginner classes, memberships, workshops and private events in one large studio; a simple class-vs-membership-vs-event guide could make the first choice easier for new customers.",2026-09-13,"Current owned pages list 15900 Blossom Hill Rd, Los Gatos, teambhc@blossomhillcrafts.com, 408-402-5020, 200+ artists, broad studio access and private events.",YES,,blossomhillcraftsblossomhillceramics,teambhc@blossomhillcrafts.com,blossomhillcrafts.com,4084025020
Affordable Treasures,contact@affordabletreasures.com,https://affordabletreasures.com/,408-356-3101,https://affordabletreasures.com/,https://affordabletreasures.com/pages/visit-the-store,"Los Gatos, CA","Party, craft, toy, costume and variety retail","Affordable Treasures carries party supplies, crafts, toys, costumes, school supplies and seasonal goods; occasion-based and 'what you'll find here' content could make the broad assortment easier for local shoppers to navigate.",2026-09-13,"Current owned site lists contact@affordabletreasures.com, 408-356-3101 and the 15795 Los Gatos Blvd store; the business describes itself as family-owned since 1986 and supports local pickup.",YES,,affordabletreasures,contact@affordabletreasures.com,affordabletreasures.com,4083563101
Wagster Pet Care,contact@wagsterpetcare.com,https://www.wagsterpetcare.com/,408-409-4130,https://www.wagsterpetcare.com/request-service,https://www.wagsterpetcare.com/,"Sunnyvale / Campbell / Palo Alto and Santa Clara County service area, CA","Dog walking and pet sitting","Wagster offers dog walking, pet sitting, vacation care and pet taxi across multiple South Bay locations; service-area, visit-length and booking-prep content could help pet owners choose a service without promising pet-health or behavior outcomes.",2026-09-13,"Current owned site lists contact@wagsterpetcare.com, 408-409-4130, Sunnyvale and Campbell locations, 2026 copyright and active Los Gatos/San Jose service pages.",YES,,wagsterpetcare,contact@wagsterpetcare.com,wagsterpetcare.com,4084094130
Priscilla Danielle Designs,pd@priscilladanielle.design,https://priscilladanielle.design/,408-930-3450,https://priscilladanielle.design/,https://www.losgatoschamber.com/list/member/priscilla-danielle-designs-6489,"Los Gatos, CA","Interior design and remodeling design services","The studio shows projects spanning remodels, kitchens, baths, furnishings and custom design; a process-and-service explainer could help prospective clients understand where a design engagement begins and what kinds of projects fit.",2026-09-13,"Current owned site publishes pd@priscilladanielle.design, 408-930-3450 and the 140 W Main St Suite D Los Gatos studio; current Chamber listing independently corroborates the location and services.",YES,,priscilladanielledesigns,pd@priscilladanielle.design,priscilladanielle.design,4089303450
Annarose Monroe Photography,info@annarosemonroe.com,https://annarosemonroe.com/,408-877-4598,https://annarosemonroe.com/,https://annarosemonroe.com/services/,"Los Gatos, CA","Executive portraiture, branding and visual strategy","Annarose separates executive portraiture, branding imagery, visual strategy and commissioned work; a concise engagement-type guide could help prospects understand the options without promising business or career outcomes.",2026-09-13,"Current owned site lists a Los Gatos appointment-only studio at 481 N Santa Cruz Ave #190, info@annarosemonroe.com and 408-877-4598, with active executive/branding services.",YES,,annarosemonroephotography,info@annarosemonroe.com,annarosemonroe.com,4088774598
Christy Wright Photography,christy@cwrightphotos.com,https://www.cwrightphotos.com/,408-802-9289,https://www.cwrightphotos.com/,https://www.cwrightphotos.com/high-school-seniors,"Silicon Valley / Santa Clara County service area, CA","Portrait, senior and family photography","Christy publishes senior, family and portrait experiences plus current 2026 recognitions; session-type, preparation and booking-path content could make the photography experience easier to compare without promising social or personal outcomes.",2026-09-13,"Current owned site lists christy@cwrightphotos.com, 408-802-9289 and a Silicon Valley service area including San Jose, Los Gatos, Saratoga and Campbell; site cites 2026 awards and a 2026 Senior VIP offering.",YES,,christywrightphotography,christy@cwrightphotos.com,cwrightphotos.com,4088029289
Lepori Photography,dave@leporiphoto.com,https://leporiphoto.com/,408-569-6708,https://leporiphoto.com/contact/,https://leporiphoto.com/,"Los Gatos, CA","Portrait, event and commercial photography","Lepori works across portraits, events, corporate and creative assignments; a clear 'what we photograph' and project-prep content pack could turn a broad portfolio into easier buying paths.",2026-09-13,"Owned contact page lists 61A Victory Lane, Los Gatos, dave@leporiphoto.com and 408-569-6708; the owned home page was crawled recently and presents the studio as active in Los Gatos.",YES,,leporiphotography,dave@leporiphoto.com,leporiphoto.com,4085696708
gms Art of Beauty Spa and Salon,info@gmsartofbeauty.com,https://www.gmsartofbeauty.com/,408-354-8691,https://www.gmsartofbeauty.com/contact-us.html,https://www.gmsartofbeauty.com/staff.html,"Los Gatos, CA","Hair, nail and beauty salon services","gms presents multiple hair, nail and beauty professionals plus online booking; service-category and stylist/specialty content could help customers choose whom to book without medical or treatment claims.",2026-09-13,"Current owned contact page lists 140 W Main St, Los Gatos, info@gmsartofbeauty.com and 408-354-8691; current staff/booking pages show active salon and nail services.",YES,,gmsartofbeautyspasalon,info@gmsartofbeauty.com,gmsartofbeauty.com,4083548691
Door Into Summer Photo Studio,hello@intosummer.photos,https://www.intosummer.photos/,650-719-1357,https://www.intosummer.photos/family-photographer-los-altos-hills,https://door-into-summer-photostudio.pixieset.com/?t=events,"Mountain View, CA","Family, newborn, headshot, branding and event photography","Door Into Summer covers family, newborn, headshot, branding and event photography; a session-selector and preparation guide could help customers identify the right format before an inquiry.",2026-09-13,"Current owned site publishes hello@intosummer.photos, 650-719-1357 and 565 Clyde Ave #650, Mountain View; current portfolio contains 2026 event work and lists service across Santa Clara County cities.",YES,,doorintosummerphotostudio,hello@intosummer.photos,intosummer.photos,6507191357
Los Gatos Parkside,info@losgatosparkside.com,https://www.losgatosparkside.com/,408-560-0099,https://www.losgatosparkside.com/contact,https://www.losgatosparkside.com/,"Los Gatos, CA","Restaurant, catering and private events","Parkside serves everyday dining while separately marketing catering, private events and group dining; occasion-based content could make those distinct paths easier to discover without inventing demand or fake urgency.",2026-09-13,"Current owned contact page lists 145 W Main St, Los Gatos, info@losgatosparkside.com and 408-560-0099; current site actively promotes private events and group dining.",YES,,losgatosparkside,info@losgatosparkside.com,losgatosparkside.com,4085600099
Italian Brothers Restaurant,marco@italianbrothersbayarea.com,https://www.italianbrothersbayarea.com/,408-354-0111,https://www.italianbrothersbayarea.com/contact,https://www.italianbrothersbayarea.com/,"Los Gatos, CA","Italian restaurant, catering, pickup and delivery","Italian Brothers supports dine-in, catering, reservations, pickup, delivery and app ordering; a simple 'dine, cater or order' content set could clarify those purchase paths without using artificial scarcity.",2026-09-13,"Current owned contact page lists 330 N Santa Cruz Ave, Los Gatos, marco@italianbrothersbayarea.com and 408-354-0111; current site actively promotes catering, reservations, pickup and delivery.",YES,,italianbrothersrestaurant,marco@italianbrothersbayarea.com,italianbrothersbayarea.com,4083540111
She She Boutique,customerservice@shesheshoes.com,https://she-she.com/,408-354-3355,https://she-she.com/pages/contact-us,https://she-she.com/,"Los Gatos, CA","Women's clothing, shoes, accessories and gifts","She She carries a large mix of shoes, apparel, handbags, accessories and gifts with frequent new arrivals; seasonal, gift and category content could help local shoppers navigate the assortment.",2026-09-13,"Current owned site lists customerservice@shesheshoes.com, 408-354-3355 and 130 N Santa Cruz Ave Suite D, Los Gatos; current catalog shows thousands of active products.",YES,,shesheboutique,customerservice@shesheshoes.com,she-she.com,4083543355
The Cats Restaurant,thecats@chefcentury.com,https://www.thecatslosgatos.com/,408-354-3060,https://www.thecatslosgatos.com/contact-us/,https://www.thecatslosgatos.com/private-dining-events/,"Los Gatos, CA","Restaurant, catering, private events and live music","The Cats combines BBQ dining, catering, private-event rooms and live music; event-type, catering and reservation content can explain the venue's options while keeping alcohol ancillary rather than the campaign focus.",2026-09-13,"Current owned contact page lists 17533 Santa Cruz Hwy, Los Gatos, thecats@chefcentury.com and 408-354-3060; current site publishes September 2026 live-music dates and active catering/private-event pages.",YES,,thecatsrestaurant,thecats@chefcentury.com,thecatslosgatos.com,4083543060
Breit Ideas,abreit@comcast.net,,408-220-4687,https://www.losgatoschamber.com/members/member/breit-ideas-6346,https://www.losgatoschamber.com/members/member/breit-ideas-6346,"Campbell, CA","Event and documentary photography","Breit Ideas specializes in special-event photography across concerts, fairs, business conferences, sports, social and civic events; a project-type and event-prep content pack could make that range easier to scan for organizers.",2026-09-13,"Current Los Gatos Chamber listing identifies Arnold Breit as an independent photographer, publishes abreit@comcast.net and 408-220-4687, and places the business at 155 E Campbell Ave #214, Campbell. The ISP email is not treated as a business-domain fingerprint.",YES,,breitideas,abreit@comcast.net,,4082204687
