Rank,ID,Business,Industry,Hit Score,Forecast Reply Window,Signal,Email,Website,ServiceFocus,Graphic Filename
151,SJ2-151,Berryessa Music School,Music Lessons,55,2–12 hr,direct inbox,contact@berryessamusic.com,https://berryessamusic.com/,music lessons,151-SJ2-151-berryessa-music-school.png
152,SJ2-152,CAGE Design Build,Remodeling,55,2–12 hr,design-build,info@cagedesignbuild.com,https://www.cagedesignbuild.com/,remodeling,152-SJ2-152-cage-design-build.png
153,SJ2-153,Camp Carter International,Martial Arts,55,2–12 hr,direct inbox,dojo@campcarter.net,https://www.campcarterintl.com/,martial arts,153-SJ2-153-camp-carter-international.png
154,SJ2-154,Center for Spiritual Living SJ Rentals,Event Venue,55,2–12 hr,coordinator inbox,rentals@cslsj.org,https://cslsj.org/rental/,event venue,154-SJ2-154-center-for-spiritual-living-sj-rentals.png
155,SJ2-155,CGT Carpet & Upholstery Cleaning,Carpet Cleaning,55,2–12 hr,fast contact,info@carpetcleaningsanjosecalifornia.com,https://www.carpetcleaningsanjosecalifornia.com/contact,carpet cleaning,155-SJ2-155-cgt-carpet-upholstery-cleaning.png
156,SJ2-156,Colorscape Landscape Services,Landscaping,55,2–12 hr,direct inbox,contact@colorscapeincsj.com,https://www.colorscapeincsj.com/,landscaping,156-SJ2-156-colorscape-landscape-services.png
157,SJ2-157,COR Physical Therapy,Physical Therapy,55,2–12 hr,direct inbox,info@trainingcor.com,https://www.trainingcor.com/contact/,physical therapy,157-SJ2-157-cor-physical-therapy.png
158,SJ2-158,CV Photo Casino,Event Services,55,2–12 hr,quick turnaround,sales@cvphotocasino.com,https://cvphotocasino.com/contact/,event rentals,158-SJ2-158-cv-photo-casino.png
159,SJ2-159,Davey Tree Expert San Jose,Tree Service,55,2–12 hr,city-approved list,Ken.cuddihy@davey.com,https://www.davey.com/,tree service,159-SJ2-159-davey-tree-expert-san-jose.png
160,SJ2-160,Discover Chiropractic,Chiropractic,55,2–12 hr,direct inbox,info@discoverchirosj.com,https://www.discoverchirosj.com/,chiropractic,160-SJ2-160-discover-chiropractic.png
161,SJ2-161,Downtown Yoga Shala,Yoga,55,2–12 hr,direct inbox,info@downtownyogashala.com,https://www.downtownyogashala.com/contact,yoga,161-SJ2-161-downtown-yoga-shala.png
162,SJ2-162,Dr. Tint California,Auto Tint,55,2–12 hr,direct quote,contact@drtintca.com,https://drtintca.com/contact/,tinting,162-SJ2-162-dr-tint-california.png
